Moussa Dembélé (French_footballer)
Christian Poulsen
Jean Beausejour
Pablo Barrera
Ronnie Stam
Jon Walters
Matej Delac
Steven Mouyokolo
Peter Odemwingie
Brad Jones (footballer)
Winston Reid
Danny Wilson (footballer,_born_1991)
Stephen Hunt (footballer,_born_1981)
Jelle Van Damme
Adlene Guedioura
Simon Mignolet
Marcos Angeleri
Kevin Thomson
Jonjo Shelvey
Marcos Alonso Mendoza
Boaz Myhill
Stephen McManus
Tommy Smith (footballer,_born_1980)
Nicky Bailey
Rafik Halliche
Titus Bramble
James McArthur
Frederic Piquionne
Gabriel Tamas
Paddy Kenny
Scott Sinclair
Joao Silva
Troy Deeney
Matt Phillips
Adam Johnson (footballer)
Younes Kaboul
Asmir Begovic
Craig Gardner
Michel
Victor Moses
Danny Fox
Maxi Rodriguez
Leon Cort
David Cotterill
Gary Caldwell
Emmanuel Adebayor
Carlos Tevez
Joleon Lescott
Alberto Aquilani
Yuri Zhirkov
Roque Santa Cruz
Glen Johnson (English_footballer)
Antonio Valencia
Kolo Toure
Stewart Downing
Gareth Barry
Darren Bent
Diniyar Bilyaletdinov
Thomas Vermaelen
Christian Benitez
Sebastien Bassong
Kyle Walker
Fabian Delph
Stephen Warnock
Kevin Doyle
Michael Turner (footballer)
John Heitinga
Richard Dunne
Alessandro Diamanti
Lee Cattermole
Nikola Kalinic
Lorik Cana
Roger Johnson (footballer)
Tuncay Sanli
Robert Huth
James Collins (footballer, born 1983)
Damien Duff
Mohamed Diame
Zat Knight
Fraizer Campbell
Radoslav Kovac
Mike Williamson (footballer)
Dean Whitehead
Seyi Olofinjana
Gabriel Obertan
Steven Fletcher (footballer)
Andre Bikey
Danny Collins
Nenad Milijas
Diego Arismendi
Ronald Zubar
Stephen Hunt (footballer,_born_1981)
Greg Halford
Kamel Ghilas
Pascal Chimbonda
Hendry Thomas
Niko Kranjcar
Sam Ricketts
Habib Beye
Jason Scotland
Steven N%27Zonzi
Jordi Gomez
Andrew Surman
Bjørn Helge Riise
Damian Martinez
Nemanja Matic
Paul McShane (footballer)
Sotirios Kyrgiakos
Simon Cox (footballer, born 1987)
James McCarthy (footballer)
Barry Ferguson
Shaun Barker
Tyrone Mears
Charlie Adam
Brian Easton (footballer)
Youssouf Mulumbu
Gokhan Inler
Paulinho (footballer)
Grant Holt
Ki Sung-Yueng
Baba Rahman
Victor Wanyama
Pablo Hernández (footballer,_born_1985)
Gonzalo Jara
